,gsid,zip_code,state,name,gsrating
0,162,21213,MD,Brehms Lane Elementary School,1.0
1,1393,21213,MD,Archbishop Curley High School,
2,280,21213,MD,Sinclair Lane Elementary School,1.0
3,2298,21213,MD,School of Original Thought,
4,1685,21213,MD,The Catholic High School of Baltimore,
5,1837,21213,MD,Hope Academy,
6,2597,21213,MD,Dr Thomas L Stephens Academy,
7,4036,21213,MD,Academy of Achievement,
8,4014,21213,MD,The Green School,6.0
9,1382,21213,MD,Shrine of Little Flower School,
10,4121,21213,MD,Afya Public Charter Middle School,3.0
11,1949,21213,MD,Baltimore Academy of Excellence,
12,2260,21213,MD,Miracle Baptist Christian School,
13,261,21213,MD,Northeast Middle School,1.0
14,2305,21213,MD,Crossland Latin School,
15,4247,21213,MD,New Spiritual Foundation Christian Academy,
16,193,21213,MD,Fort Worthington Elementary School,1.0
17,2365,21213,MD,Heritage High School,1.0
18,198,21213,MD,Furley Elementary School,1.0
19,2053,21213,MD,Dr. Samuel L. Banks High School,
20,284,21223,MD,Steuart Hill Academic Academy,1.0
21,2266,21223,MD,Mount Clare Christian School,
22,278,21223,MD,Samuel F. B. Morse Elementary School,1.0
23,236,21223,MD,Lockerman Bundy Elementary School,1.0
24,2512,21223,MD,Vivien T. Thomas Medical Arts Academy,2.0
25,196,21223,MD,Franklin Square Elementary School,2.0
26,4048,21223,MD,Greater Youth Christian Academy,
27,160,21223,MD,Mary Ann Winterling Elementary School,3.0
28,2551,21223,MD,Southwest Baltimore Charter School,3.0
29,326,21223,MD,Frederick Elementary School,1.0
30,4293,21223,MD,Roots and Branches,1.0
31,230,21223,MD,James Mchenry Elementary School,1.0
32,155,21223,MD,Charles Carroll Barrister Elementary School,3.0
33,315,21223,MD,Francis M. Wood Alternative High School,1.0
34,2513,21223,MD,Augusta Fells Savage Institute Of Visual Arts,1.0
35,2511,21223,MD,Baltimore Talent Development High School,1.0
36,223,21223,MD,Harlem Park Elementary School,1.0
37,4174,21223,MD,The Seed School Of Maryland,5.0
38,2361,21223,MD,Empowerment Academy,7.0
39,231,21223,MD,James Mosher Elementary School,1.0
40,2952,30310,GA,Heavenly Institute Of Learning,
41,2394,30310,GA,Brown Middle School,5.0
42,3641,30310,GA,Finch Elementary School,1.0
43,110,30310,GA,Gideons Elementary School,1.0
44,6441,30310,GA,Kipp Strive Academy,9.0
45,8475,30310,GA,KIPP Strive Primary,
46,114,30310,GA,Connally Elementary School,1.0
47,74,30310,GA,M. A. Jones Elementary School,2.0
